Sonnet,Line,Word
('001', 'l10', 'perpetual')
('001', 'l11', 'remedy')
('002', 'l10', 'perpetual')
('002', 'l11', 'remedy')
('003', 'l10', 'perpetual')
('003', 'l11', 'remedy')
('004', 'l10', 'perpetual')
('004', 'l11', 'remedy')
('005', 'l10', 'perpetual')
('005', 'l11', 'remedy')
('006', 'l10', 'perpetual')
('006', 'l11', 'remedy')
('007', 'l10', 'perpetual')
('007', 'l11', 'remedy')
('008', 'l10', 'perpetual')
('008', 'l11', 'remedy')
('009', 'l10', 'perpetual')
('009', 'l11', 'remedy')
('010', 'l10', 'perpetual')
('010', 'l11', 'remedy')
('011', 'l10', 'perpetual')
('011', 'l11', 'remedy')
('012', 'l10', 'perpetual')
('012', 'l11', 'remedy')
('013', 'l10', 'perpetual')
('013', 'l11', 'remedy')
('014', 'l10', 'perpetual')
('014', 'l11', 'remedy')
('015', 'l10', 'perpetual')
('015', 'l11', 'remedy')
('016', 'l10', 'perpetual')
('016', 'l11', 'remedy')
('017', 'l10', 'perpetual')
('017', 'l11', 'remedy')
('018', 'l10', 'perpetual')
('018', 'l11', 'remedy')
('019', 'l10', 'perpetual')
('019', 'l11', 'remedy')
('020', 'l10', 'perpetual')
('020', 'l11', 'remedy')
('021', 'l10', 'perpetual')
('021', 'l11', 'remedy')
('022', 'l10', 'perpetual')
('022', 'l11', 'remedy')
('023', 'l10', 'perpetual')
('023', 'l11', 'remedy')
('024', 'l10', 'perpetual')
('024', 'l11', 'remedy')
('025', 'l10', 'perpetual')
('025', 'l11', 'remedy')
('026', 'l10', 'perpetual')
('026', 'l11', 'remedy')
('027', 'l10', 'perpetual')
('027', 'l11', 'remedy')
('028', 'l10', 'perpetual')
('028', 'l11', 'remedy')
('029', 'l10', 'perpetual')
('029', 'l11', 'remedy')
('030', 'l10', 'perpetual')
('030', 'l11', 'remedy')
('031', 'l10', 'perpetual')
('031', 'l11', 'remedy')
('032', 'l10', 'perpetual')
('032', 'l11', 'remedy')
('033', 'l10', 'perpetual')
('033', 'l11', 'remedy')
('034', 'l10', 'perpetual')
('034', 'l11', 'remedy')
('035', 'l10', 'perpetual')
('035', 'l11', 'remedy')
('036', 'l10', 'perpetual')
('036', 'l11', 'remedy')
('037', 'l10', 'perpetual')
('037', 'l11', 'remedy')
('038', 'l10', 'perpetual')
('038', 'l11', 'remedy')
('039', 'l10', 'perpetual')
('039', 'l11', 'remedy')
('040', 'l10', 'perpetual')
('040', 'l11', 'remedy')
('041', 'l10', 'perpetual')
('041', 'l11', 'remedy')
('042', 'l10', 'perpetual')
('042', 'l11', 'remedy')
('043', 'l10', 'perpetual')
('043', 'l11', 'remedy')
('044', 'l10', 'perpetual')
